⺀	⿱丶丶
㜝	⿰女⿱⿱⿱𠆢丶乛酉
㜞	⿱⿰車斤女
㜟	⿰女⿹⿰工攵〾甘
㜠	⿰女⿱山隹
㜡	⿰女⿰彳⿱从龰
㜢	⿰女婁
㜣	⿰女⿱⿰⿴𠂊冫犬灬
㜤	⿰女覃
㜥	⿰女⿱罒貝
㜦	⿰女⿳彐⿰工口寸
㜧	⿰女⿸厂⿰屰欠
㜨	⿰女⿸⿸尸水牛
㜩	⿰女⿱⿵⿱丿冂釆大
㜪	⿱⿰⿱立朩斤女
㜫	⿰女⿰彳⿰⿱山几攵
㜬	⿰女⿸厃⿱儿言
㜭	⿰女⿱〾尚田
㜮	⿰女⿱⿰臣⿱⿰丿一丶皿
㜯	⿰女⿱⿰𦣞巳灬
㜰	⿰女⿱⿲幺白幺木
㜱	⿰女⿱⿰斤斤貝
㜳	⿰女⿱⿱亠⿱罒氺⿸匚𡿨
㜴	⿰女⿳⿱艹罒冖目
㜵	⿰女⿴衣馬
㜶	⿰女毚
㜷	⿱⿰弓爾女
㜸	⿱⿱艹⿰𠂤辛女
㜹	⿰女⿱⿰目目隹
㜺	⿰女⿱⿰先先貝
㜻	⿰女⿱⿰糸⿰訁糸心
㜽	〾子
㜾	⿰子⿱𠆢⿰丿丨
㜿	⿰子⿱龴⿱乛亅
㝀	⿰母子
㝁	⿱⿹勹日子
㝂	⿰子⿰扌斤
㝄	⿰⿱亠⿱口子⿻𠤎凵
㝅	⿰⿳士冖⿱一子殳
㝆	⿰子⿱壴口
㝇	⿰⿱亠⿱口子⿱亠⿱口子
㝈	⿱⿰糸⿰訁糸⿰子子
㝉	⿱宀一
㝊	⿱宀又
㝋	⿱宀⿱乛亅
㝌	⿱宀⿰𠂊乀
㝍	⿱宀与
㝏	⿱宀⿱𠆢⿰丿丨
㝐	⿱穴厶
㝑	⿱宀方
㝒	⿱宀⿱十口
㝓	⿱宀⿱亼口
㝔	⿱宀⿱亠父
㝕	⿱⿱宀心又
㝖	⿱宀⿱夕夕
㝗	⿱宀⿱丶艮
㝘	⿱宀言
㝙	〾寅
㝚	⿱宀⿺廴⿱丿止
㝜	⿱宀⿱龷日
